section,diagnosis,icd_10_code,spine_region
msk,Cervicalgia,M54.2,cervical
msk,Vertebrogenic low back pain,M54.51,lumbar
msk,Other low back pain,M54.59,lumbar
msk,Pain in thoracic spine,M54.6,thoracic
msk,Other dorsalgia,M54.89,unspecified
trauma,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",M80.08XA,unspecified
trauma,"Other osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",M80.88XA,unspecified
msk,Osteitis deformans of vertebrae,M88.1,unspecified
msk,Acquired deformity of neck,M95.3,cervical
msk,Pseudarthrosis after fusion or arthrodesis,M96.0,unspecified
msk,"Postlaminectomy syndrome, not elsewhere classified",M96.1,unspecified
deformity,Postradiation kyphosis,M96.2,unspecified
deformity,Postlaminectomy kyphosis,M96.3,unspecified
deformity,Postsurgical lordosis,M96.4,unspecified
deformity,Postradiation scoliosis,M96.5,unspecified
msk,Segmental and somatic dysfunction of cervical region,M99.01,cervical
msk,Segmental and somatic dysfunction of thoracic region,M99.02,thoracic
msk,Segmental and somatic dysfunction of lumbar region,M99.03,lumbar
msk,Segmental and somatic dysfunction of sacral region,M99.04,sacral
msk,Subluxation complex (vertebral) of cervical region,M99.11,cervical
msk,Subluxation complex (vertebral) of thoracic region,M99.12,thoracic
msk,Subluxation complex (vertebral) of lumbar region,M99.13,lumbar
msk,Subluxation complex (vertebral) of sacral region,M99.14,sacral
msk,Subluxation stenosis of neural canal of cervical region,M99.21,cervical
msk,Subluxation stenosis of neural canal of thoracic region,M99.22,thoracic
msk,Subluxation stenosis of neural canal of lumbar region,M99.23,lumbar
msk,Subluxation stenosis of neural canal of sacral region,M99.24,sacral
msk,Osseous stenosis of neural canal of cervical region,M99.31,cervical
msk,Osseous stenosis of neural canal of thoracic region,M99.32,thoracic
msk,Osseous stenosis of neural canal of lumbar region,M99.33,lumbar
msk,Osseous stenosis of neural canal of sacral region,M99.34,sacral
msk,Connective tissue stenosis of neural canal of cervical region,M99.41,cervical
msk,Connective tissue stenosis of neural canal of thoracic region,M99.42,thoracic
msk,Connective tissue stenosis of neural canal of lumbar region,M99.43,lumbar
msk,Connective tissue stenosis of neural canal of sacral region,M99.44,sacral
msk,Intervertebral disc stenosis of neural canal of cervical region,M99.51,cervical
msk,Intervertebral disc stenosis of neural canal of thoracic region,M99.52,thoracic
msk,Intervertebral disc stenosis of neural canal of lumbar region,M99.53,lumbar
msk,Intervertebral disc stenosis of neural canal of sacral region,M99.54,sacral
msk,Osseous and subluxation stenosis of intervertebral foramina of cervical region,M99.61,cervical
msk,Osseous and subluxation stenosis of intervertebral foramina of thoracic region,M99.62,thoracic
msk,Osseous and subluxation stenosis of intervertebral foramina of lumbar region,M99.63,lumbar
msk,Osseous and subluxation stenosis of intervertebral foramina of sacral region,M99.64,sacral
msk,Connective tissue and disc stenosis of intervertebral foramina of cervical region,M99.71,cervical
msk,Connective tissue and disc stenosis of intervertebral foramina of thoracic region,M99.72,thoracic
msk,Connective tissue and disc stenosis of intervertebral foramina of lumbar region,M99.73,lumbar
msk,Connective tissue and disc stenosis of intervertebral foramina of sacral region,M99.74,sacral
msk,Other biomechanical lesions of cervical region,M99.81,cervical
msk,Other biomechanical lesions of thoracic region,M99.82,thoracic
msk,Other biomechanical lesions of lumbar region,M99.83,lumbar
msk,Other biomechanical lesions of sacral region,M99.84,sacral
tumor,Malignant neoplasm of vertebral column,C41.2,unspecified
tumor,"Malignant neoplasm of pelvic bones, sacrum and coccyx",C41.4,sacral
tumor,Kaposi's sarcoma of other sites,C46.7,unspecified
tumor,Malignant neoplasm of spinal cord,C72.0,unspecified
tumor,Malignant neoplasm of cauda equina,C72.1,lumbar
tumor,Malignant carcinoid tumor of unspecified site,C7A.00,unspecified
tumor,"Secondary carcinoid tumors, unspecified site",C7B.00,unspecified
tumor,Secondary carcinoid tumors of bone,C7B.03,unspecified
tumor,Secondary carcinoid tumors of other sites,C7B.09,unspecified
tumor,Secondary malignant neoplasm of unspecified part of nervous system,C79.40,unspecified
tumor,Secondary malignant neoplasm of bone,C79.51,unspecified
tumor,Secondary malignant neoplasm of bone marrow,C79.52,unspecified
tumor,Secondary malignant neoplasm of other specified sites,C79.89,unspecified
tumor,Secondary malignant neoplasm of unspecified site,C79.9,unspecified
tumor,"Mycosis fungoides, unspecified site",C84.00,unspecified
tumor,"Sezary disease, unspecified site",C84.10,unspecified
tumor,Carcinoma in situ of other specified sites,D09.8,unspecified
tumor,Benign neoplasm of vertebral column,D16.6,unspecified
tumor,"Benign neoplasm of pelvic bones, sacrum and coccyx",D16.8,sacral
tumor,Hemangioma unspecified site,D18.00,unspecified
tumor,Benign neoplasm of unspecified site of unspecified orbit,D31.60,unspecified
tumor,Benign neoplasm of spinal cord,D33.4,unspecified
tumor,Benign neoplasm of other specified sites,D36.7,unspecified
tumor,"Benign neoplasm, unspecified site",D36.9,unspecified
tumor,Benign carcinoid tumor of unspecified site,D3A.00,unspecified
tumor,Neoplasm of uncertain behavior of spinal cord,D43.4,unspecified
tumor,Neoplasm of uncertain behavior of other specified sites,D48.7,unspecified
tumor,"Neoplasm of unspecified behavior of bone, soft tissue, and skin",D49.2,unspecified
tumor,Neoplasm of unspecified behavior of other specified sites,D49.89,unspecified
tumor,Neoplasm of unspecified behavior of unspecified site,D49.9,unspecified
congenital,Cervical spina bifida with hydrocephalus,Q05.0,cervical
congenital,Thoracic spina bifida with hydrocephalus,Q05.1,thoracic
congenital,Lumbar spina bifida with hydrocephalus,Q05.2,lumbar
congenital,Sacral spina bifida with hydrocephalus,Q05.3,sacral
congenital,Unspecified spina bifida with hydrocephalus,Q05.4,unspecified
congenital,Cervical spina bifida without hydrocephalus,Q05.5,cervical
congenital,Thoracic spina bifida without hydrocephalus,Q05.6,thoracic
congenital,Lumbar spina bifida without hydrocephalus,Q05.7,lumbar
congenital,Sacral spina bifida without hydrocephalus,Q05.8,sacral
congenital,"Spina bifida, unspecified",Q05.9,unspecified
congenital,Hypoplasia and dysplasia of spinal cord,Q06.1,unspecified
congenital,Other congenital cauda equina malformations,Q06.3,lumbar
congenital,Other specified congenital malformations of spinal cord,Q06.8,unspecified
congenital,"Congenital malformation of spinal cord, unspecified",Q06.9,unspecified
congenital,Arnold-Chiari syndrome without spina bifida or hydrocephalus,Q07.00,cervical
congenital,Arnold-Chiari syndrome with spina bifida,Q07.01,cervical
congenital,Arnold-Chiari syndrome with spina bifida and hydrocephalus,Q07.03,cervical
congenital,Congenital deformity of spine,Q67.5,unspecified
congenital,Spina bifida occulta,Q76.0,unspecified
congenital,Klippel-Feil syndrome,Q76.1,unspecified
congenital,Congenital scoliosis due to congenital bony malformation,Q76.3,unspecified
congenital,"Congenital kyphosis, occipito-atlanto-axial region",Q76.411,occipito-atlanto-axial
congenital,"Congenital kyphosis, cervical region",Q76.412,cervical
congenital,"Congenital kyphosis, cervicothoracic region",Q76.413,cervicothoracic
congenital,"Congenital kyphosis, thoracic region",Q76.414,thoracic
congenital,"Congenital kyphosis, thoracolumbar region",Q76.415,thoracolumbar
congenital,"Congenital kyphosis, unspecified region",Q76.419,unspecified
congenital,"Congenital lordosis, thoracolumbar region",Q76.425,thoracolumbar
congenital,"Congenital lordosis, lumbar region",Q76.426,lumbar
congenital,"Congenital lordosis, lumbosacral region",Q76.427,lumbosacral
congenital,"Congenital lordosis, sacral and sacrococcygeal region",Q76.428,sacral
congenital,"Congenital lordosis, unspecified region",Q76.429,unspecified
congenital,"Other congenital malformations of spine, not associated with scoliosis",Q76.49,unspecified
congenital,Cervical rib,Q76.5,cervical
congenital,Other congenital malformations of ribs,Q76.6,unspecified
congenital,Other congenital malformations of bony thorax,Q76.8,unspecified
congenital,Other osteochondrodysplasia with defects of growth of tubular bones and spine,Q77.8,unspecified
congenital,"Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified",Q77.9,unspecified
congenital,Other congenital malformations of diaphragm,Q79.1,unspecified
congenital,Other congenital malformations of musculoskeletal system,Q79.8,unspecified
congenital,Congenital sacral dimple,Q82.6,sacral
congenital,"Neurofibromatosis, unspecified",Q85.00,unspecified
congenital,"Neurofibromatosis, type 1",Q85.01,unspecified
congenital,"Neurofibromatosis, type 2",Q85.02,unspecified
congenital,Other neurofibromatosis,Q85.09,unspecified
congenital,Other congenital malformation syndromes due to known exogenous causes,Q86.8,unspecified
congenital,Other congenital malformation syndromes predominantly associated with short stature,Q87.19,unspecified
congenital,"Marfan's syndrome, unspecified",Q87.40,unspecified
congenital,Marfan's syndrome with other cardiovascular manifestations,Q87.418,unspecified
congenital,Marfan's syndrome with skeletal manifestation,Q87.43,unspecified
congenital,Other congenital malformation syndromes with other skeletal changes,Q87.5,unspecified
trauma,"Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture",S12.000A,cervical
trauma,"Unspecified displaced fracture of first cervical vertebra, initial encounter for open fracture",S12.000B,cervical
trauma,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",S12.001A,cervical
trauma,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",S12.001B,cervical
trauma,"Stable burst fracture of first cervical vertebra, initial encounter for closed fracture",S12.01XA,cervical
trauma,"Stable burst fracture of first cervical vertebra, initial encounter for open fracture",S12.01XB,cervical
trauma,"Unstable burst fracture of first cervical vertebra, initial encounter for closed fracture",S12.02XA,cervical
trauma,"Unstable burst fracture of first cervical vertebra, initial encounter for open fracture",S12.02XB,cervical
trauma,"Displaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",S12.030A,cervical
trauma,"Displaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",S12.030B,cervical
trauma,"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",S12.031A,cervical
trauma,"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",S12.031B,cervical
trauma,"Displaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",S12.040A,cervical
trauma,"Displaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",S12.040B,cervical
trauma,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",S12.041A,cervical
trauma,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",S12.041B,cervical
trauma,"Other displaced fracture of first cervical vertebra, initial encounter for closed fracture",S12.090A,cervical
trauma,"Other displaced fracture of first cervical vertebra, initial encounter for open fracture",S12.090B,cervical
trauma,"Other nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",S12.091A,cervical
trauma,"Other nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",S12.091B,cervical
trauma,"Unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture",S12.100A,cervical
trauma,"Unspecified displaced fracture of second cervical vertebra, initial encounter for open fracture",S12.100B,cervical
trauma,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",S12.101A,cervical
trauma,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",S12.101B,cervical
trauma,"Anterior displaced Type II dens fracture, initial encounter for closed fracture",S12.110A,cervical
trauma,"Anterior displaced Type II dens fracture, initial encounter for open fracture",S12.110B,cervical
trauma,"Posterior displaced Type II dens fracture, initial encounter for closed fracture",S12.111A,cervical
trauma,"Posterior displaced Type II dens fracture, initial encounter for open fracture",S12.111B,cervical
trauma,"Nondisplaced Type II dens fracture, initial encounter for closed fracture",S12.112A,cervical
trauma,"Nondisplaced Type II dens fracture, initial encounter for open fracture",S12.112B,cervical
trauma,"Other displaced dens fracture, initial encounter for closed fracture",S12.120A,cervical
trauma,"Other displaced dens fracture, initial encounter for open fracture",S12.120B,cervical
trauma,"Other nondisplaced dens fracture, initial encounter for closed fracture",S12.121A,cervical
trauma,"Other nondisplaced dens fracture, initial encounter for open fracture",S12.121B,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S12.130A,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S12.130B,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S12.131A,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S12.131B,cervical
trauma,"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S12.14XA,cervical
trauma,"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S12.14XB,cervical
trauma,"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S12.150A,cervical
trauma,"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S12.150B,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S12.151A,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S12.151B,cervical
trauma,"Other displaced fracture of second cervical vertebra, initial encounter for closed fracture",S12.190A,cervical
trauma,"Other displaced fracture of second cervical vertebra, initial encounter for open fracture",S12.190B,cervical
trauma,"Other nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",S12.191A,cervical
trauma,"Other nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",S12.191B,cervical
trauma,"Unspecified displaced fracture of third cervical vertebra, initial encounter for closed fracture",S12.200A,cervical
trauma,"Unspecified displaced fracture of third cervical vertebra, initial encounter for open fracture",S12.200B,cervical
trauma,"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S12.201A,cervical
trauma,"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",S12.201B,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S12.230A,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S12.230B,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S12.231A,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S12.231B,cervical
trauma,"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S12.24XA,cervical
trauma,"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S12.24XB,cervical
trauma,"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S12.250A,cervical
trauma,"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S12.250B,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S12.251A,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S12.251B,cervical
trauma,"Other displaced fracture of third cervical vertebra, initial encounter for closed fracture",S12.290A,cervical
trauma,"Other displaced fracture of third cervical vertebra, initial encounter for open fracture",S12.290B,cervical
trauma,"Other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S12.291A,cervical
trauma,"Other nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",S12.291B,cervical
trauma,"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S12.300A,cervical
trauma,"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture",S12.300B,cervical
trauma,"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S12.301A,cervical
trauma,"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",S12.301B,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S12.330A,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S12.330B,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S12.331A,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S12.331B,cervical
trauma,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S12.34XA,cervical
trauma,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S12.34XB,cervical
trauma,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S12.350A,cervical
trauma,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S12.350B,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S12.351A,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S12.351B,cervical
trauma,"Other displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S12.390A,cervical
trauma,"Other displaced fracture of fourth cervical vertebra, initial encounter for open fracture",S12.390B,cervical
trauma,"Other nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S12.391A,cervical
trauma,"Other nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",S12.391B,cervical
trauma,"Unspecified displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S12.400A,cervical
trauma,"Unspecified displaced fracture of fifth cervical vertebra, initial encounter for open fracture",S12.400B,cervical
trauma,"Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S12.401A,cervical
trauma,"Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture",S12.401B,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S12.430A,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S12.430B,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S12.431A,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S12.431B,cervical
trauma,"Type III traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S12.44XA,cervical
trauma,"Type III traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S12.44XB,cervical
trauma,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S12.450A,cervical
trauma,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S12.450B,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S12.451A,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S12.451B,cervical
trauma,"Other displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S12.490A,cervical
trauma,"Other displaced fracture of fifth cervical vertebra, initial encounter for open fracture",S12.490B,cervical
trauma,"Other nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S12.491A,cervical
trauma,"Other nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture",S12.491B,cervical
trauma,"Unspecified displaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S12.500A,cervical
trauma,"Unspecified displaced fracture of sixth cervical vertebra, initial encounter for open fracture",S12.500B,cervical
trauma,"Unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S12.501A,cervical
trauma,"Unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture",S12.501B,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S12.530A,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S12.530B,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S12.531A,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S12.531B,cervical
trauma,"Type III traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S12.54XA,cervical
trauma,"Type III traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S12.54XB,cervical
trauma,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S12.550A,cervical
trauma,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S12.550B,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S12.551A,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S12.551B,cervical
trauma,"Other displaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S12.590A,cervical
trauma,"Other displaced fracture of sixth cervical vertebra, initial encounter for open fracture",S12.590B,cervical
trauma,"Other nondisplaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S12.591A,cervical
trauma,"Other nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture",S12.591B,cervical
trauma,"Unspecified displaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S12.600A,cervical
trauma,"Unspecified displaced fracture of seventh cervical vertebra, initial encounter for open fracture",S12.600B,cervical
trauma,"Unspecified nondisplaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S12.601A,cervical
trauma,"Unspecified nondisplaced fracture of seventh cervical vertebra, initial encounter for open fracture",S12.601B,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S12.630A,cervical
trauma,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S12.630B,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S12.631A,cervical
trauma,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S12.631B,cervical
trauma,"Type III traumatic spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S12.64XA,cervical
trauma,"Type III traumatic spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S12.64XB,cervical
trauma,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S12.650A,cervical
trauma,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S12.650B,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S12.651A,cervical
trauma,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S12.651B,cervical
trauma,"Other displaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S12.690A,cervical
trauma,"Other displaced fracture of seventh cervical vertebra, initial encounter for open fracture",S12.690B,cervical
trauma,"Other nondisplaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S12.691A,cervical
trauma,"Other nondisplaced fracture of seventh cervical vertebra, initial encounter for open fracture",S12.691B,cervical
trauma,"Fracture of other parts of neck, initial encounter",S12.8XXA,cervical
trauma,"Fracture of neck, unspecified, initial encounter",S12.9XXA,cervical
trauma,"Traumatic rupture of cervical intervertebral disc, initial encounter",S13.0XXA,cervical
trauma,"Subluxation of unspecified cervical vertebrae, initial encounter",S13.100A,cervical
trauma,"Dislocation of unspecified cervical vertebrae, initial encounter",S13.101A,cervical
trauma,"Subluxation of C0/C1 cervical vertebrae, initial encounter",S13.110A,cervical
trauma,"Dislocation of C0/C1 cervical vertebrae, initial encounter",S13.111A,cervical
trauma,"Subluxation of C1/C2 cervical vertebrae, initial encounter",S13.120A,cervical
trauma,"Dislocation of C1/C2 cervical vertebrae, initial encounter",S13.121A,cervical
trauma,"Subluxation of C2/C3 cervical vertebrae, initial encounter",S13.130A,cervical
trauma,"Dislocation of C2/C3 cervical vertebrae, initial encounter",S13.131A,cervical
trauma,"Subluxation of C3/C4 cervical vertebrae, initial encounter",S13.140A,cervical
trauma,"Dislocation of C3/C4 cervical vertebrae, initial encounter",S13.141A,cervical
trauma,"Subluxation of C4/C5 cervical vertebrae, initial encounter",S13.150A,cervical
trauma,"Dislocation of C4/C5 cervical vertebrae, initial encounter",S13.151A,cervical
trauma,"Subluxation of C5/C6 cervical vertebrae, initial encounter",S13.160A,cervical
trauma,"Dislocation of C5/C6 cervical vertebrae, initial encounter",S13.161A,cervical
trauma,"Subluxation of C6/C7 cervical vertebrae, initial encounter",S13.170A,cervical
trauma,"Dislocation of C6/C7 cervical vertebrae, initial encounter",S13.171A,cervical
trauma,"Subluxation of C7/T1 cervical vertebrae, initial encounter",S13.180A,cervicothoracic
trauma,"Dislocation of C7/T1 cervical vertebrae, initial encounter",S13.181A,cervicothoracic
trauma,"Dislocation of unspecified parts of neck, initial encounter",S13.20XA,cervical
trauma,"Dislocation of other parts of neck, initial encounter",S13.29XA,cervical
trauma,"Sprain of ligaments of cervical spine, initial encounter",S13.4XXA,cervical
trauma,"Concussion and edema of cervical spinal cord, initial encounter",S14.0XXA,cervical
trauma,"Unspecified injury at C1 level of cervical spinal cord, initial encounter",S14.101A,cervical
trauma,"Unspecified injury at C2 level of cervical spinal cord, initial encounter",S14.102A,cervical
trauma,"Unspecified injury at C3 level of cervical spinal cord, initial encounter",S14.103A,cervical
trauma,"Unspecified injury at C4 level of cervical spinal cord, initial encounter",S14.104A,cervical
trauma,"Unspecified injury at C5 level of cervical spinal cord, initial encounter",S14.105A,cervical
trauma,"Unspecified injury at C6 level of cervical spinal cord, initial encounter",S14.106A,cervical
trauma,"Unspecified injury at C7 level of cervical spinal cord, initial encounter",S14.107A,cervical
trauma,"Unspecified injury at C8 level of cervical spinal cord, initial encounter",S14.108A,cervical
trauma,"Unspecified injury at unspecified level of cervical spinal cord, initial encounter",S14.109A,cervical
trauma,"Complete lesion at C1 level of cervical spinal cord, initial encounter",S14.111A,cervical
trauma,"Complete lesion at C2 level of cervical spinal cord, initial encounter",S14.112A,cervical
trauma,"Complete lesion at C3 level of cervical spinal cord, initial encounter",S14.113A,cervical
trauma,"Complete lesion at C4 level of cervical spinal cord, initial encounter",S14.114A,cervical
trauma,"Complete lesion at C5 level of cervical spinal cord, initial encounter",S14.115A,cervical
trauma,"Complete lesion at C6 level of cervical spinal cord, initial encounter",S14.116A,cervical
trauma,"Complete lesion at C7 level of cervical spinal cord, initial encounter",S14.117A,cervical
trauma,"Complete lesion at C8 level of cervical spinal cord, initial encounter",S14.118A,cervical
trauma,"Complete lesion at unspecified level of cervical spinal cord, initial encounter",S14.119A,cervical
trauma,"Central cord syndrome at C1 level of cervical spinal cord, initial encounter",S14.121A,cervical
trauma,"Central cord syndrome at C2 level of cervical spinal cord, initial encounter",S14.122A,cervical
trauma,"Central cord syndrome at C3 level of cervical spinal cord, initial encounter",S14.123A,cervical
trauma,"Central cord syndrome at C4 level of cervical spinal cord, initial encounter",S14.124A,cervical
trauma,"Central cord syndrome at C5 level of cervical spinal cord, initial encounter",S14.125A,cervical
trauma,"Central cord syndrome at C6 level of cervical spinal cord, initial encounter",S14.126A,cervical
trauma,"Central cord syndrome at C7 level of cervical spinal cord, initial encounter",S14.127A,cervical
trauma,"Central cord syndrome at C8 level of cervical spinal cord, initial encounter",S14.128A,cervical
trauma,"Central cord syndrome at unspecified level of cervical spinal cord, initial encounter",S14.129A,cervical
trauma,"Anterior cord syndrome at C1 level of cervical spinal cord, initial encounter",S14.131A,cervical
trauma,"Anterior cord syndrome at C2 level of cervical spinal cord, initial encounter",S14.132A,cervical
trauma,"Anterior cord syndrome at C3 level of cervical spinal cord, initial encounter",S14.133A,cervical
trauma,"Anterior cord syndrome at C4 level of cervical spinal cord, initial encounter",S14.134A,cervical
trauma,"Anterior cord syndrome at C5 level of cervical spinal cord, initial encounter",S14.135A,cervical
trauma,"Anterior cord syndrome at C6 level of cervical spinal cord, initial encounter",S14.136A,cervical
