level,body_interspace,vertebral_number,approach,category,implant,object,side,x,y,length,width,angle,fusion,interbody_fusion,fixation_uiv_liv,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_endplate_inferior_body_y,inferior_endplate_superior_body_y,direction
T9-T10,interspace,16.5,posterior,decompression,no,complete_facetectomy,right,0.51,0.508,,,,no,no,no,0.523,0.508,0.51,0.498,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,0.474,0.508,0.498,0.49,,,,,
T10-T11,interspace,17.5,posterior,decompression,no,complete_facetectomy,left,0.492,0.476,,,,no,no,no,0.478,0.476,0.492,0.465,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,0.475,0.476,0.465,0.492,,,,,
T10-T11,interspace,17.5,posterior,decompression,no,complete_facetectomy,right,0.508,0.476,,,,no,no,no,0.522,0.476,0.508,0.465,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,0.475,0.476,0.465,0.492,,,,,
T11-T12,interspace,18.5,posterior,decompression,no,complete_facetectomy,left,0.491,0.438,,,,no,no,no,0.478,0.438,0.491,0.425,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,0.475,0.438,0.425,0.491,,,,,
T11-T12,interspace,18.5,posterior,decompression,no,complete_facetectomy,right,0.509,0.438,,,,no,no,no,0.522,0.438,0.509,0.425,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,0.475,0.438,0.425,0.491,,,,,
T12-L1,interspace,19.5,posterior,decompression,no,complete_facetectomy,left,0.492,0.4,,,,no,no,no,0.483,0.4,0.492,0.385,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,0.48,0.4,0.385,0.492,,,,,
T12-L1,interspace,19.5,posterior,decompression,no,complete_facetectomy,right,0.508,0.4,,,,no,no,no,0.517,0.4,0.508,0.385,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,0.48,0.4,0.385,0.492,,,,,
L1-L2,interspace,20.5,posterior,decompression,no,complete_facetectomy,left,0.491,0.367,,,,no,no,no,0.483,0.367,0.491,0.352,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,0.48,0.367,0.352,0.491,,,,,
L1-L2,interspace,20.5,posterior,decompression,no,complete_facetectomy,right,0.509,0.367,,,,no,no,no,0.517,0.367,0.509,0.352,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,0.48,0.367,0.352,0.491,,,,,
L2-L3,interspace,21.5,posterior,decompression,no,complete_facetectomy,left,0.489,0.33,,,,no,no,no,0.478,0.33,0.489,0.314,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,0.475,0.33,0.314,0.489,,,,,
L2-L3,interspace,21.5,posterior,decompression,no,complete_facetectomy,right,0.511,0.33,,,,no,no,no,0.522,0.33,0.511,0.314,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,0.475,0.33,0.314,0.489,,,,,
L3-L4,interspace,22.5,posterior,decompression,no,complete_facetectomy,left,0.486,0.291,,,,no,no,no,0.474,0.291,0.486,0.278,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,0.471,0.291,0.278,0.486,,,,,
L3-L4,interspace,22.5,posterior,decompression,no,complete_facetectomy,right,0.514,0.291,,,,no,no,no,0.526,0.291,0.514,0.278,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,0.471,0.291,0.278,0.486,,,,,
L4-L5,interspace,23.5,posterior,decompression,no,complete_facetectomy,left,0.487,0.252,,,,no,no,no,0.476,0.252,0.487,0.241,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,0.473,0.252,0.241,0.487,,,,,
L4-L5,interspace,23.5,posterior,decompression,no,complete_facetectomy,right,0.513,0.252,,,,no,no,no,0.524,0.252,0.513,0.241,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,0.473,0.252,0.241,0.487,,,,,
L5-S1,interspace,24.5,posterior,decompression,no,complete_facetectomy,left,0.48,0.224,,,,no,no,no,0.469,0.224,0.48,0.209,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,0.466,0.224,0.209,0.48,,,,,
L5-S1,interspace,24.5,posterior,decompression,no,complete_facetectomy,right,0.52,0.224,,,,no,no,no,0.531,0.224,0.52,0.209,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,0.466,0.224,0.209,0.48,,,,,
T1,body,8,posterior,decompression,no,costovertebral_approach,left,0.475,0.754,,0.008,,yes,no,no,0.484,0.742,0.492,0.732,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,,
T1,body,8,posterior,decompression,no,costovertebral_approach,right,0.525,0.754,,0.008,,yes,no,no,0.508,0.742,0.516,0.732,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,,
T2,body,9,posterior,decompression,no,costovertebral_approach,left,0.475,0.73,,0.006,,yes,no,no,0.488,0.72,0.494,0.705,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,,
T2,body,9,posterior,decompression,no,costovertebral_approach,right,0.525,0.73,,0.006,,yes,no,no,0.506,0.72,0.512,0.705,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,,
T3,body,10,posterior,decompression,no,costovertebral_approach,left,0.475,0.709,,0.006,,yes,no,no,0.488,0.692,0.494,0.677,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,,
T3,body,10,posterior,decompression,no,costovertebral_approach,right,0.525,0.709,,0.006,,yes,no,no,0.506,0.692,0.512,0.677,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,,
T4,body,11,posterior,decompression,no,costovertebral_approach,left,0.475,0.679,,0.006,,yes,no,no,0.488,0.667,0.494,0.647,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,,
T4,body,11,posterior,decompression,no,costovertebral_approach,right,0.525,0.679,,0.006,,yes,no,no,0.506,0.667,0.512,0.647,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,,
T5,body,12,posterior,decompression,no,costovertebral_approach,left,0.475,0.653,,0.006,,yes,no,no,0.488,0.634,0.494,0.614,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,,
T5,body,12,posterior,decompression,no,costovertebral_approach,right,0.525,0.653,,0.006,,yes,no,no,0.506,0.634,0.512,0.614,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,,
T6,body,13,posterior,decompression,no,costovertebral_approach,left,0.475,0.623,,0.006,,yes,no,no,0.488,0.601,0.494,0.581,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,,
T6,body,13,posterior,decompression,no,costovertebral_approach,right,0.525,0.623,,0.006,,yes,no,no,0.506,0.601,0.512,0.581,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,,
T7,body,14,posterior,decompression,no,costovertebral_approach,left,0.475,0.591,,0.006,,yes,no,no,0.488,0.571,0.494,0.551,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,,
T7,body,14,posterior,decompression,no,costovertebral_approach,right,0.525,0.591,,0.006,,yes,no,no,0.506,0.571,0.512,0.551,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,,
T8,body,15,posterior,decompression,no,costovertebral_approach,left,0.475,0.561,,0.006,,yes,no,no,0.488,0.538,0.494,0.518,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,,
T8,body,15,posterior,decompression,no,costovertebral_approach,right,0.525,0.561,,0.006,,yes,no,no,0.506,0.538,0.512,0.518,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,,
T9,body,16,posterior,decompression,no,costovertebral_approach,left,0.475,0.529,,0.006,,yes,no,no,0.488,0.506,0.494,0.486,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,,
T9,body,16,posterior,decompression,no,costovertebral_approach,right,0.525,0.529,,0.006,,yes,no,no,0.506,0.506,0.512,0.486,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,,
T10,body,17,posterior,decompression,no,costovertebral_approach,left,0.475,0.492,,0.006,,yes,no,no,0.488,0.473,0.494,0.453,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,,
T10,body,17,posterior,decompression,no,costovertebral_approach,right,0.525,0.492,,0.006,,yes,no,no,0.506,0.473,0.512,0.453,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,,
T11,body,18,posterior,decompression,no,costovertebral_approach,left,0.475,0.453,,0.006,,yes,no,no,0.488,0.435,0.494,0.415,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,,
T11,body,18,posterior,decompression,no,costovertebral_approach,right,0.525,0.453,,0.006,,yes,no,no,0.506,0.435,0.512,0.415,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,,
T12,body,19,posterior,decompression,no,costovertebral_approach,left,0.475,0.423,,0.006,,yes,no,no,0.488,0.393,0.494,0.373,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,,
T12,body,19,posterior,decompression,no,costovertebral_approach,right,0.525,0.423,,0.006,,yes,no,no,0.506,0.393,0.512,0.373,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,,
T1,body,8,posterior,decompression,no,costotransversectomy,left,0.475,0.754,,0.008,,yes,no,no,0.484,0.742,0.492,0.732,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,,
T1,body,8,posterior,decompression,no,costotransversectomy,right,0.525,0.754,,0.008,,yes,no,no,0.508,0.742,0.516,0.732,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,,
T2,body,9,posterior,decompression,no,costotransversectomy,left,0.475,0.73,,0.006,,yes,no,no,0.488,0.72,0.494,0.705,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,,
T2,body,9,posterior,decompression,no,costotransversectomy,right,0.525,0.73,,0.006,,yes,no,no,0.506,0.72,0.512,0.705,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,,
T3,body,10,posterior,decompression,no,costotransversectomy,left,0.475,0.709,,0.006,,yes,no,no,0.488,0.692,0.494,0.677,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,,
T3,body,10,posterior,decompression,no,costotransversectomy,right,0.525,0.709,,0.006,,yes,no,no,0.506,0.692,0.512,0.677,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,,
T4,body,11,posterior,decompression,no,costotransversectomy,left,0.475,0.679,,0.006,,yes,no,no,0.488,0.667,0.494,0.647,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,,
T4,body,11,posterior,decompression,no,costotransversectomy,right,0.525,0.679,,0.006,,yes,no,no,0.506,0.667,0.512,0.647,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,,
T5,body,12,posterior,decompression,no,costotransversectomy,left,0.475,0.653,,0.006,,yes,no,no,0.488,0.634,0.494,0.614,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,,
T5,body,12,posterior,decompression,no,costotransversectomy,right,0.525,0.653,,0.006,,yes,no,no,0.506,0.634,0.512,0.614,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,,
T6,body,13,posterior,decompression,no,costotransversectomy,left,0.475,0.623,,0.006,,yes,no,no,0.488,0.601,0.494,0.581,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,,
T6,body,13,posterior,decompression,no,costotransversectomy,right,0.525,0.623,,0.006,,yes,no,no,0.506,0.601,0.512,0.581,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,,
T7,body,14,posterior,decompression,no,costotransversectomy,left,0.475,0.591,,0.006,,yes,no,no,0.488,0.571,0.494,0.551,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,,
T7,body,14,posterior,decompression,no,costotransversectomy,right,0.525,0.591,,0.006,,yes,no,no,0.506,0.571,0.512,0.551,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,,
T8,body,15,posterior,decompression,no,costotransversectomy,left,0.475,0.561,,0.006,,yes,no,no,0.488,0.538,0.494,0.518,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,,
T8,body,15,posterior,decompression,no,costotransversectomy,right,0.525,0.561,,0.006,,yes,no,no,0.506,0.538,0.512,0.518,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,,
T9,body,16,posterior,decompression,no,costotransversectomy,left,0.475,0.529,,0.006,,yes,no,no,0.488,0.506,0.494,0.486,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,,
T9,body,16,posterior,decompression,no,costotransversectomy,right,0.525,0.529,,0.006,,yes,no,no,0.506,0.506,0.512,0.486,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,,
T10,body,17,posterior,decompression,no,costotransversectomy,left,0.475,0.492,,0.006,,yes,no,no,0.488,0.473,0.494,0.453,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,,
T10,body,17,posterior,decompression,no,costotransversectomy,right,0.525,0.492,,0.006,,yes,no,no,0.506,0.473,0.512,0.453,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,,
T11,body,18,posterior,decompression,no,costotransversectomy,left,0.475,0.453,,0.006,,yes,no,no,0.488,0.435,0.494,0.415,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,,
T11,body,18,posterior,decompression,no,costotransversectomy,right,0.525,0.453,,0.006,,yes,no,no,0.506,0.435,0.512,0.415,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,,
T12,body,19,posterior,decompression,no,costotransversectomy,left,0.475,0.423,,0.006,,yes,no,no,0.488,0.393,0.494,0.373,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,,
T12,body,19,posterior,decompression,no,costotransversectomy,right,0.525,0.423,,0.006,,yes,no,no,0.506,0.393,0.512,0.373,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,,
C2-C3,interspace,2.5,posterior,decompression,no,diskectomy,left,0.491,0.857,,0.006,,no,no,no,0.488,0.861,0.494,0.853,,,,,,,,,,,,,,,,,,,
C2-C3,interspace,2.5,posterior,decompression,no,diskectomy,right,0.509,0.857,,0.006,,no,no,no,0.506,0.861,0.512,0.853,,,,,,,,,,,,,,,,,,,
C3-C4,interspace,3.5,posterior,decompression,no,diskectomy,left,0.491,0.8385,,0.006,,no,no,no,0.488,0.842,0.494,0.835,,,,,,,,,,,,,,,,,,,
C3-C4,interspace,3.5,posterior,decompression,no,diskectomy,right,0.509,0.8385,,0.006,,no,no,no,0.506,0.842,0.512,0.835,,,,,,,,,,,,,,,,,,,
C4-C5,interspace,4.5,posterior,decompression,no,diskectomy,left,0.491,0.819,,0.006,,no,no,no,0.488,0.822,0.494,0.816,,,,,,,,,,,,,,,,,,,
C4-C5,interspace,4.5,posterior,decompression,no,diskectomy,right,0.509,0.819,,0.006,,no,no,no,0.506,0.822,0.512,0.816,,,,,,,,,,,,,,,,,,,
C5-C6,interspace,5.5,posterior,decompression,no,diskectomy,left,0.491,0.8005,,0.006,,no,no,no,0.488,0.804,0.494,0.797,,,,,,,,,,,,,,,,,,,
C5-C6,interspace,5.5,posterior,decompression,no,diskectomy,right,0.509,0.8005,,0.006,,no,no,no,0.506,0.804,0.512,0.797,,,,,,,,,,,,,,,,,,,
C6-C7,interspace,6.5,posterior,decompression,no,diskectomy,left,0.491,0.7825,,0.006,,no,no,no,0.488,0.786,0.494,0.779,,,,,,,,,,,,,,,,,,,
C6-C7,interspace,6.5,posterior,decompression,no,diskectomy,right,0.509,0.7825,,0.006,,no,no,no,0.506,0.786,0.512,0.779,,,,,,,,,,,,,,,,,,,
C7-T1,interspace,7.5,posterior,decompression,no,diskectomy,left,0.491,0.7595,,0.006,,no,no,no,0.488,0.763,0.494,0.756,,,,,,,,,,,,,,,,,,,
C7-T1,interspace,7.5,posterior,decompression,no,diskectomy,right,0.509,0.7595,,0.006,,no,no,no,0.506,0.763,0.512,0.756,,,,,,,,,,,,,,,,,,,
T1-T2,interspace,8.5,posterior,decompression,no,diskectomy,left,0.491,0.7345,,0.006,,no,no,no,0.488,0.737,0.494,0.732,,,,,,,,,,,,,,,,,,,
T1-T2,interspace,8.5,posterior,decompression,no,diskectomy,right,0.509,0.7345,,0.006,,no,no,no,0.506,0.737,0.512,0.732,,,,,,,,,,,,,,,,,,,
T2-T3,interspace,9.5,posterior,decompression,no,diskectomy,left,0.491,0.7115,,0.006,,no,no,no,0.488,0.713,0.494,0.71,,,,,,,,,,,,,,,,,,,
T2-T3,interspace,9.5,posterior,decompression,no,diskectomy,right,0.509,0.7115,,0.006,,no,no,no,0.506,0.713,0.512,0.71,,,,,,,,,,,,,,,,,,,
T3-T4,interspace,10.5,posterior,decompression,no,diskectomy,left,0.491,0.6845,,0.006,,no,no,no,0.488,0.687,0.494,0.682,,,,,,,,,,,,,,,,,,,
T3-T4,interspace,10.5,posterior,decompression,no,diskectomy,right,0.509,0.6845,,0.006,,no,no,no,0.506,0.687,0.512,0.682,,,,,,,,,,,,,,,,,,,
T4-T5,interspace,11.5,posterior,decompression,no,diskectomy,left,0.491,0.6575,,0.006,,no,no,no,0.488,0.658,0.494,0.657,,,,,,,,,,,,,,,,,,,
T4-T5,interspace,11.5,posterior,decompression,no,diskectomy,right,0.509,0.6575,,0.006,,no,no,no,0.506,0.658,0.512,0.657,,,,,,,,,,,,,,,,,,,
T5-T6,interspace,12.5,posterior,decompression,no,diskectomy,left,0.491,0.6265,,0.006,,no,no,no,0.488,0.629,0.494,0.624,,,,,,,,,,,,,,,,,,,
T5-T6,interspace,12.5,posterior,decompression,no,diskectomy,right,0.509,0.6265,,0.006,,no,no,no,0.506,0.629,0.512,0.624,,,,,,,,,,,,,,,,,,,
T6-T7,interspace,13.5,posterior,decompression,no,diskectomy,left,0.491,0.593,,0.006,,no,no,no,0.488,0.595,0.494,0.591,,,,,,,,,,,,,,,,,,,
T6-T7,interspace,13.5,posterior,decompression,no,diskectomy,right,0.509,0.593,,0.006,,no,no,no,0.506,0.595,0.512,0.591,,,,,,,,,,,,,,,,,,,
T7-T8,interspace,14.5,posterior,decompression,no,diskectomy,left,0.491,0.5635,,0.006,,no,no,no,0.488,0.566,0.494,0.561,,,,,,,,,,,,,,,,,,,
T7-T8,interspace,14.5,posterior,decompression,no,diskectomy,right,0.509,0.5635,,0.006,,no,no,no,0.506,0.566,0.512,0.561,,,,,,,,,,,,,,,,,,,
T8-T9,interspace,15.5,posterior,decompression,no,diskectomy,left,0.491,0.529,,0.006,,no,no,no,0.488,0.53,0.494,0.528,,,,,,,,,,,,,,,,,,,
T8-T9,interspace,15.5,posterior,decompression,no,diskectomy,right,0.509,0.529,,0.006,,no,no,no,0.506,0.53,0.512,0.528,,,,,,,,,,,,,,,,,,,
T9-T10,interspace,16.5,posterior,decompression,no,diskectomy,left,0.491,0.497,,0.006,,no,no,no,0.488,0.498,0.494,0.496,,,,,,,,,,,,,,,,,,,
T9-T10,interspace,16.5,posterior,decompression,no,diskectomy,right,0.509,0.497,,0.006,,no,no,no,0.506,0.498,0.512,0.496,,,,,,,,,,,,,,,,,,,
T10-T11,interspace,17.5,posterior,decompression,no,diskectomy,left,0.491,0.464,,0.006,,no,no,no,0.488,0.465,0.494,0.463,,,,,,,,,,,,,,,,,,,
T10-T11,interspace,17.5,posterior,decompression,no,diskectomy,right,0.509,0.464,,0.006,,no,no,no,0.506,0.465,0.512,0.463,,,,,,,,,,,,,,,,,,,
T11-T12,interspace,18.5,posterior,decompression,no,diskectomy,left,0.491,0.425,,0.006,,no,no,no,0.488,0.425,0.494,0.425,,,,,,,,,,,,,,,,,,,
T11-T12,interspace,18.5,posterior,decompression,no,diskectomy,right,0.509,0.425,,0.006,,no,no,no,0.506,0.425,0.512,0.425,,,,,,,,,,,,,,,,,,,
T12-L1,interspace,19.5,posterior,decompression,no,diskectomy,left,0.491,0.3845,,0.006,,no,no,no,0.488,0.386,0.494,0.383,,,,,,,,,,,,,,,,,,,
T12-L1,interspace,19.5,posterior,decompression,no,diskectomy,right,0.509,0.3845,,0.006,,no,no,no,0.506,0.386,0.512,0.383,,,,,,,,,,,,,,,,,,,
L1-L2,interspace,20.5,posterior,decompression,no,diskectomy,left,0.491,0.3505,,0.006,,no,no,no,0.488,0.352,0.494,0.349,,,,,,,,,,,,,,,,,,,
L1-L2,interspace,20.5,posterior,decompression,no,diskectomy,right,0.509,0.3505,,0.006,,no,no,no,0.506,0.352,0.512,0.349,,,,,,,,,,,,,,,,,,,
L2-L3,interspace,21.5,posterior,decompression,no,diskectomy,left,0.491,0.316,,0.006,,no,no,no,0.488,0.317,0.494,0.315,,,,,,,,,,,,,,,,,,,
L2-L3,interspace,21.5,posterior,decompression,no,diskectomy,right,0.509,0.316,,0.006,,no,no,no,0.506,0.317,0.512,0.315,,,,,,,,,,,,,,,,,,,
L3-L4,interspace,22.5,posterior,decompression,no,diskectomy,left,0.491,0.279,,0.006,,no,no,no,0.488,0.284,0.494,0.274,,,,,,,,,,,,,,,,,,,
L3-L4,interspace,22.5,posterior,decompression,no,diskectomy,right,0.509,0.279,,0.006,,no,no,no,0.506,0.284,0.512,0.274,,,,,,,,,,,,,,,,,,,
L4-L5,interspace,23.5,posterior,decompression,no,diskectomy,left,0.4895,0.2425,,0.009,,no,no,no,0.485,0.247,0.494,0.238,,,,,,,,,,,,,,,,,,,
L4-L5,interspace,23.5,posterior,decompression,no,diskectomy,right,0.5105,0.2425,,0.009,,no,no,no,0.506,0.247,0.515,0.238,,,,,,,,,,,,,,,,,,,
L5-S1,interspace,24.5,posterior,decompression,no,diskectomy,left,0.487,0.206,,0.014,,no,no,no,0.48,0.214,0.494,0.198,,,,,,,,,,,,,,,,,,,
L5-S1,interspace,24.5,posterior,decompression,no,diskectomy,right,0.513,0.206,,0.014,,no,no,no,0.506,0.214,0.52,0.198,,,,,,,,,,,,,,,,,,,
C2,body,2,posterior,osteotomy,no,grade_1,left,0.491,0.857,,,,yes,no,no,0.473,0.863,0.49,0.853,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,0.473,0.863,0.853,0.492,,,,,
C2,body,2,posterior,osteotomy,no,grade_1,right,0.509,0.857,,,,yes,no,no,0.527,0.863,0.51,0.853,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,0.473,0.863,0.853,0.492,,,,,
C3,body,3,posterior,osteotomy,no,grade_1,left,0.491,0.8385,,,,yes,no,no,0.473,0.844,0.49,0.834,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,0.473,0.844,0.834,0.492,,,,,
C3,body,3,posterior,osteotomy,no,grade_1,right,0.509,0.8385,,,,yes,no,no,0.527,0.844,0.51,0.834,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,0.473,0.844,0.834,0.492,,,,,
C4,body,4,posterior,osteotomy,no,grade_1,left,0.491,0.819,,,,yes,no,no,0.473,0.826,0.49,0.816,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,0.473,0.826,0.816,0.492,,,,,
C4,body,4,posterior,osteotomy,no,grade_1,right,0.509,0.819,,,,yes,no,no,0.527,0.826,0.51,0.816,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,0.473,0.826,0.816,0.492,,,,,
C5,body,5,posterior,osteotomy,no,grade_1,left,0.491,0.8005,,,,yes,no,no,0.473,0.807,0.49,0.797,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,0.473,0.807,0.797,0.492,,,,,
C5,body,5,posterior,osteotomy,no,grade_1,right,0.509,0.8005,,,,yes,no,no,0.527,0.807,0.51,0.797,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,0.473,0.807,0.797,0.492,,,,,
C6,body,6,posterior,osteotomy,no,grade_1,left,0.491,0.78,,,,yes,no,no,0.473,0.792,0.49,0.78,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,0.473,0.792,0.78,0.492,,,,,
C6,body,6,posterior,osteotomy,no,grade_1,right,0.509,0.78,,,,yes,no,no,0.527,0.792,0.51,0.78,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,0.473,0.792,0.78,0.492,,,,,
C7,body,7,posterior,osteotomy,no,grade_1,left,0.492,0.767,,,,yes,no,no,0.478,0.767,0.492,0.76,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,0.475,0.767,0.76,0.492,,,,,
C7,body,7,posterior,osteotomy,no,grade_1,right,0.508,0.767,,,,yes,no,no,0.522,0.767,0.508,0.76,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,0.475,0.767,0.76,0.492,,,,,
T1,body,8,posterior,osteotomy,no,grade_1,left,0.493,0.746,,,,yes,no,no,0.481,0.746,0.493,0.738,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,0.478,0.746,0.738,0.493,,,,,
T1,body,8,posterior,osteotomy,no,grade_1,right,0.507,0.746,,,,yes,no,no,0.519,0.746,0.507,0.738,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,0.478,0.746,0.738,0.493,,,,,
T2,body,9,posterior,osteotomy,no,grade_1,left,0.494,0.72,,,,yes,no,no,0.481,0.72,0.494,0.714,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,0.478,0.72,0.714,0.494,,,,,
T2,body,9,posterior,osteotomy,no,grade_1,right,0.506,0.72,,,,yes,no,no,0.519,0.72,0.506,0.714,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,0.478,0.72,0.714,0.494,,,,,
